a_id,b_id,score,a_nombre,b_nombre
A1,B1,17.97,CUAUHTEMOC,Fiscalía C
A1,B2,8.05,CUAUHTEMOC,Fiscalía I
A1,B3,11.15,CUAUHTEMOC,Fiscalía GAM
A1,B4,14.63,CUAUHTEMOC,Fiscalía BJ
A2,B1,39.37,IZTAPALAPA,Fiscalía C
A2,B2,52.42,IZTAPALAPA,Fiscalía I
A2,B3,35.91,IZTAPALAPA,Fiscalía GAM
A2,B4,40.87,IZTAPALAPA,Fiscalía BJ
A3,B1,48.77,GUSTAVO A MADERO,Fiscalía C
A3,B2,41.08,GUSTAVO A MADERO,Fiscalía I
A3,B3,54.72,GUSTAVO A MADERO,Fiscalía GAM
A3,B4,43.58,GUSTAVO A MADERO,Fiscalía BJ
A4,B1,25.63,BENITO JUAREZ,Fiscalía C
A4,B2,21.69,BENITO JUAREZ,Fiscalía I
A4,B3,18.17,BENITO JUAREZ,Fiscalía GAM
A4,B4,30.48,BENITO JUAREZ,Fiscalía BJ
